Correct	Eps	Cds	T
1	0.0135657856509204	->	0.678442001342773
1	0.00685652268378389	->	0.677731990814209
0	-0.00382041871091954	<-	0.604214191436768
1	0.00269666668524526	->	0.66032886505127
1	0.00843668876705861	->	6.50071597099304
1	0.0065757573205848	->	6.77997207641602
1	0.00881440965403801	->	6.36111307144165
1	0.00411369104533188	->	6.70643091201782
1	0.00686962237695488	->	7.16410899162292
1	0.0110221554919845	->	6.99898886680603
1	0.00811827672035537	->	6.43716216087341
1	0.0173411421413953	->	7.76695203781128
1	0.00689399136788515	->	0.733414888381958
1	0.00449391913935648	->	0.696623802185059
0	-0.00059757316609188	<-	0.68717098236084
1	0.0100082921933556	->	0.673362016677856
0	-0.00106051605089819	<-	7.6405131816864
1	0.00290884711200201	->	0.59418511390686
1	0.00837678354987714	->	0.284565210342407
0	-0.0109193523199582	<-	0.656545877456665
0	-0.0113301953802311	<-	0.634721040725708
1	0.00151338401800594	->	0.801835060119629
1	0.00648344836962844	->	0.809611082077026
1	0.00648750791252606	->	0.781036138534546
0	-0.000113380394348384	<-	1.61380195617676
1	0.00664555974012326	->	1.79833316802979
0	-0.00141339728837897	<-	1.56308913230896
1	0.0118153131922245	->	1.59427094459534
0	-0.0043552754595495	<-	1.56993508338928
1	0.0180634059928473	->	1.63588905334473
1	0.0137583868939085	->	1.64757609367371
1	0.00763715052044245	->	1.56682515144348
1	0.00709098757192794	->	0.641116142272949
1	0.00125136368437084	->	0.595398902893066
1	0.00286234680773878	->	0.644850015640259
1	0.00596003428495995	->	0.661571025848389
1	0.00174932504025238	->	0.645094156265259
1	0.0061128509705497	->	1.23206806182861
1	0.00334523837139811	->	0.749810934066772
1	0.000732798370540744	->	1.18883109092712
0	-0.00111938611828899	<-	1.23462986946106
1	0.137536105567464	->	14.4718549251556
1	0.00139800376543098	->	16.249214887619
0	-0.00139884018100545	<-	17.2780129909515
1	0.00073903426421229	->	16.4547719955444
1	0.00286811414215227	->	16.1643748283386
1	-0.0369057366254473	<-	0.265582084655762
1	-0.00613403062555218	<-	0.674871921539307
0	0.00397273089146799	->	0.664139986038208
1	-0.0133279920577211	<-	0.697574853897095
0	0.000901420572435252	->	0.246713161468506
1	-0.0106686583839276	<-	0.279611110687256
1	-0.00893714193971951	<-	0.300803899765015
1	-0.0275960329428573	<-	0.244953870773315
0	0.0166565168022372	->	0.294878959655762
0	0.00881498427866412	->	0.293300151824951
0	0.000835196468718769	->	0.239538908004761
1	-0.00579391169322185	<-	0.313435792922974
0	-0.0086509223142176	<-	0.26781702041626
1	0.00128321769091777	->	2.09005808830261
0	-0.00276913139323143	<-	2.12515902519226
0	-0.000175752080389779	<-	2.060711145401
0	0.0181056985906404	->	0.830619096755981
1	-0.00854936782095617	<-	25.400249004364
1	0.00164431107547469	->	2.61135601997375
1	-0.000285506591255702	<-	8.05027508735657
1	0.00328839649352886	->	0.304647922515869
0	0.00216700712189843	->	0.471967935562134
0	-0.00493679581330919	<-	0.693434000015259
0	0.00226209632918062	->	13.1472148895264
1	0.00609436223492121	->	1.09976601600647
0	0.00226729769098455	->	1.1081211566925
1	-0.00881130004141417	<-	1.13213300704956
1	0.00105563714174106	->	0.67126989364624
1	0.00774236531258121	->	0.631877899169922
1	0.00329050328444713	->	0.645118951797485
0	0.00171909179815954	->	4.71745300292969
1	0.00610954405618713	->	1.66011595726013
0	-0.00754270493977294	<-	1.4111590385437
1	0.00956245773019548	->	12.6571319103241
1	0.0108443503797995	->	0.522530794143677
0	0.00624325476059473	->	0.235243082046509
0	0.00553802431173023	->	0.189191102981567
0	-0.000321577163090003	<-	0.236971139907837
0	0.00344251680500407	->	0.241961002349854
1	0.00373243522309996	->	0.727020978927612
1	0.0164906842087357	->	15.0667350292206
1	0.0365579536566519	->	14.7704768180847
1	0.0185190237275148	->	15.1569721698761
0	-0.0030228650466485	<-	0.419456005096436
1	0.0023304528305349	->	0.205242156982422
1	-0.00279731453648424	<-	3.79793500900269
1	0.0158425649613269	->	0.528364181518555
1	0.000643258352891252	->	0.6110520362854
1	0.0291068104393792	->	0.212393999099731
1	0.00566789542584933	->	0.181312799453735
1	0.0161866991027932	->	0.214594841003418
1	-0.00876636932215369	<-	0.235595941543579
0	0.0103288665145769	->	0.244189977645874
