Correct	Eps	Cds	T
1	0.0255049311942901	->	7.962975025177
1	0.0116491396986452	->	5.06916308403015
0	-0.0288893742553683	<-	5.39074182510376
1	0.0202379036105282	->	5.47785902023315
1	0.00974746979885865	->	148.275022029877
1	0.00591141602177059	->	58.5241870880127
1	0.00849297063093479	->	182.324206113815
1	0.00478362814436062	->	61.1818950176239
1	0.00771410866706657	->	148.273532867432
1	0.0109701942371911	->	151.170933008194
1	0.00804368439821401	->	123.471404075623
1	0.0190707798648085	->	112.823245048523
1	0.00345257802316901	->	6.6799898147583
1	0.000748612244927283	->	6.31716108322144
1	0.00580699551939567	->	6.00334596633911
1	0.00768289423278301	->	6.12095785140991
0	-0.00189480890084626	<-	159.434066057205
1	0.00990765879376709	->	8.04796886444092
1	0.022867116117452	->	1.96179008483887
0	-0.0221085900383546	<-	5.67714095115662
0	-0.00634022579585147	<-	7.15017294883728
1	0.00765206786050932	->	10.5146098136902
1	0.0148267064475445	->	10.2313570976257
1	0.00280350576059485	->	7.61113405227661
0	-0.00321517553255968	<-	15.4447631835938
1	0.0200280382618137	->	32.3665690422058
1	0.00822925440715694	->	16.3912599086761
1	0.0175205140859551	->	16.3120229244232
0	-0.00200527058521416	<-	16.5917799472809
1	0.0272330620253001	->	16.7608749866486
1	0.0115319221898895	->	32.7301709651947
1	0.0106315368691799	->	23.9158999919891
1	0.0198193802773594	->	5.67725205421448
0	-0.00245990363323356	<-	8.17433881759644
0	-0.00346569549403575	<-	5.55135703086853
1	0.00696195246070586	->	5.4818708896637
1	0.00972821393336432	->	5.48810005187988
1	0.0132175731664533	->	12.098464012146
1	0.00901985713361386	->	6.4065990447998
1	0.00520213416046211	->	30.6367700099945
0	-0.0027343068203296	<-	12.1526870727539
1	0.143576700322137	->	210.999652862549
1	0.000541107357628134	->	188.026031970978
0	-4.43895944451933e-05	<-	274.771204948425
0	-0.000569662674404725	<-	189.087590932846
1	0.00116987573956484	->	194.981558084488
1	-0.0665987617589673	<-	2.70478415489197
0	0.00813666759647336	->	8.36940717697144
0	0.0107151090405171	->	5.82193899154663
1	-0.00766570214946682	<-	5.7544469833374
0	0.0287539920531534	->	2.75848817825317
1	-0.00149277546992799	<-	2.03235197067261
1	-0.0116806423828599	<-	1.99518013000488
1	-0.0185874737318757	<-	1.9598400592804
0	0.0729097811296517	->	1.87253022193909
0	0.0488517682136336	->	2.80638384819031
0	0.0143075610862609	->	2.80622100830078
0	0.00165808305271131	->	1.92630100250244
0	-0.0154708140910033	<-	1.93811798095703
1	0.00143035909619882	->	21.4913301467896
0	-0.00238386373057375	<-	43.0361099243164
1	0.00383596924014939	->	20.5103271007538
0	0.03431275078875	->	8.0022599697113
1	-0.00737342556211074	<-	684.173520803452
1	0.00445271432799532	->	36.759046792984
0	0.000914807603922707	->	118.10999417305
1	0.000677563810618231	->	2.8666729927063
1	-0.00593265677560539	<-	5.50876998901367
1	0.00446653180629764	->	6.07484102249146
0	0.0028816373549615	->	258.310233831406
1	0.00834314772595357	->	11.8127238750458
0	0.00416087790123343	->	17.6465771198273
1	-0.00706038592547031	<-	13.3654768466949
1	0.00367450514415224	->	6.09295892715454
1	0.0116389489574341	->	11.7187750339508
1	0.00714421733940385	->	6.1069929599762
1	-8.80289202009887e-06	<-	68.0769169330597
1	0.00579569896054655	->	15.7738871574402
0	-0.00182797913730937	<-	11.0262589454651
1	0.00895316002360003	->	251.833046197891
1	0.0177778475976239	->	6.90214014053345
1	-0.0238884861687031	<-	2.57193088531494
1	-0.0181253672354279	<-	1.69624996185303
0	-0.00496452659915836	<-	1.63680982589722
0	0.0150568202917739	->	1.71580290794373
1	0.00301499547437412	->	14.0889248847961
1	0.0172697533055597	->	313.390123128891
1	0.0374900226133078	->	147.900907993317
1	0.0141760001838367	->	307.832900047302
1	0.0115708880115533	->	3.80349493026733
1	0.0140491847883842	->	3.00593996047974
1	-0.00370033771838774	<-	91.6766319274902
1	0.033079167599948	->	3.95819497108459
1	0.00504793639874856	->	4.8378369808197
1	0.0268440236837062	->	1.75082516670227
0	-0.00964220155480044	<-	1.68524503707886
1	0.0258767771619917	->	2.58430290222168
1	-0.00809790594587989	<-	2.26607394218445
0	0.0336914259105686	->	1.58178114891052
