Correct	Eps	Cds
1	0.0131959512533333	->
1	0.00544230666666667	->
0	-0.0130485300466667	<-
0	-0.00649199513333333	<-
1	0.00979738167666667	->
1	0.00535398733	->
1	0.00773345941333333	->
1	0.00445792719	->
1	0.00715735641666666	->
1	0.01069550124	->
1	0.00710620272666667	->
1	0.01928204786	->
1	0.00320072569666667	->
0	-8.89984541e-05	<-
1	0.000832439406333333	->
1	0.00552704810333333	->
0	-0.000893939016666667	<-
1	0.00577397572666667	->
1	0.0083873926	->
0	-0.0168749892266667	<-
0	-0.0165051149033333	<-
1	0.00192328415333333	->
1	0.00965364506333334	->
1	0.00314263981	->
0	-0.00499869935	<-
0	-0.00242752856	<-
1	0.000656355203533333	->
1	0.00843833042333333	->
0	-0.00477348259333333	<-
1	0.0028273211	->
1	0.00344162012666667	->
0	-0.000324607996466667	<-
1	0.00818083242	->
1	0.00338604892666667	->
1	0.000989957107333333	->
1	0.00224167689	->
1	0.00136416107	->
1	0.00420716546666667	->
1	0.000722126924433333	->
0	-0.00148813623	<-
0	-0.00235166078333333	<-
1	0.13775694759	->
0	-0.000138504956666667	<-
1	0.00036190965	->
1	0.000734408736666667	->
1	0.00185541328666667	->
1	-0.0465813024633333	<-
1	-0.00176271029666667	<-
0	0.00216306764666667	->
1	-0.00794425144666667	<-
1	-0.00471487674666667	<-
1	-0.00927509182666666	<-
1	-0.02251202806	<-
1	-0.02896082216	<-
0	0.01035395486	->
0	0.0084112038	->
1	-0.00290757505333333	<-
1	-0.01643618183	<-
0	-0.0103699627033333	<-
1	0.00142635970666667	->
0	-0.00185168318666667	<-
1	0.00094786632	->
0	0.00349636825333333	->
1	-0.00960898875666667	<-
1	0.0025427664	->
1	-0.000739242613333334	<-
1	0.0033885197	->
0	0.00240380468	->
0	-0.000427501695666667	<-
0	0.00297443410333333	->
1	0.00723638677666667	->
0	0.00278224196333333	->
1	-0.00721051426	<-
0	-0.00144750130666667	<-
1	0.00315546238666667	->
1	0.000313764163333333	->
1	-0.00030629296	<-
1	0.00496189078	->
0	-5.00365433333331e-06	<-
1	0.0107586273333333	->
1	0.00731070113333333	->
1	-0.00637713767	<-
0	0.00481135433	->
0	-0.000477972728	<-
1	-5.90963983333333e-05	<-
1	0.0005994852	->
1	0.0154146926133333	->
1	0.02957697169	->
1	0.0131678897266667	->
1	0.00202652958666667	->
0	-0.00771913267333333	<-
1	-0.00163816302666667	<-
1	0.000265628088	->
1	0.00132162325066667	->
0	-0.00943007934666667	<-
0	-0.000869968936666667	<-
0	-0.0111835321266667	<-
1	-0.00508589778	<-
1	-0.00254403750666667	<-
