Correct	Eps	Cds	T
1	0.00131828218811492	1	0.831698179244995
0	0.000506479033378304	1	1.00530695915222
0	-0.00191313023806805	0	0.779816865921021
1	-3.48216455114958e-06	0	0.772197008132935
1	0.00103250362473395	1	0.789691925048828
1	0.00514804408888914	1	0.846328973770142
1	0.00195696201955797	1	0.850541114807129
1	0.00301263385529194	1	0.915013074874878
0	0.0019481333249135	1	0.820929050445557
1	-0.00346898167455356	0	0.808212995529175
1	0.00236552313171623	1	1.10506701469421
1	0.000652560557160564	1	0.818632841110229
1	0.000312521260273257	1	0.853656053543091
0	0.000686938728332254	1	0.821548938751221
0	0.000831167813687972	1	0.804305076599121
1	-0.000936293729147608	0	0.802721977233887
1	-0.000737058427973669	0	0.832663059234619
1	0.000106127609650786	1	0.803314924240112
1	-0.00238364085325282	0	0.815279006958008
1	-0.00701174045847242	0	0.817662954330444
1	0.000712560712079813	1	0.820436000823975
1	0.00157910148623452	1	0.925745964050293
1	-0.00118389631900206	0	0.831002950668335
1	0.000789093581713862	1	0.86748480796814
1	0.00295220280944408	1	0.811381816864014
0	-8.52487408873337e-05	0	0.829844951629639
1	0.00173882819333016	1	0.783615112304688
1	-0.00423414305076708	0	0.811985015869141
0	0.000453587092189345	1	0.933718919754028
0	0.0002103801239417	1	0.819826126098633
1	-0.00178613987268783	0	0.974614143371582
1	0.00108157668981546	1	1.25687003135681
1	-0.00375725728416665	0	1.0385959148407
1	-0.00291313149123174	0	1.07970809936523
1	0.00205816301909201	1	1.08762001991272
1	-0.00142326121453984	0	1.02309083938599
1	-0.00206863646721722	0	1.07942605018616
0	-4.33164449243906e-05	0	1.09575605392456
1	0.00166097817087407	1	0.998270034790039
0	-0.000329694618627419	0	0.996714115142822
1	0.000631187817662249	1	1.2993540763855
1	-0.00184524974964273	0	0.798211812973022
1	0.000942239787790067	1	0.771116971969604
1	0.00377481237449029	1	0.767202138900757
1	0.00119509404581375	1	0.769409894943237
1	2.68247574093383e-05	1	0.792027950286865
1	0.00254157017978629	1	0.822659969329834
1	0.000863233780283412	1	0.896326065063477
0	0.000172444407318895	1	0.782316923141479
0	-0.00193661548280233	0	0.772291898727417
1	-0.000340616159237306	0	0.745057821273804
1	-0.000135219465184022	0	0.720975160598755
1	0.000356939092414299	1	0.722886085510254
1	-0.00077330310859014	0	0.759248971939087
1	0.00031663188824238	1	0.782744884490967
0	-0.000778227601874737	0	0.76663613319397
0	-0.00059426984412736	0	0.73758602142334
1	0.00137718611424531	1	0.768206119537354
1	0.000969746409628991	1	0.743249893188477
1	1.25375096281521e-05	1	0.722273826599121
1	0.00394971401543254	1	0.722817182540894
1	-0.00147105851298579	0	0.739519119262695
1	-0.00175024305779914	0	0.73903489112854
0	7.33846928946402e-05	1	0.747637033462524
1	-0.00120123659220883	0	0.738862991333008
0	-0.00239927490688585	0	0.711732864379883
1	0.000596400638028793	1	0.733736038208008
1	-0.00139152381187224	0	0.741588115692139
1	-0.000259229937412342	0	0.767311096191406
1	0.000482495720683596	1	0.74012279510498
1	0.00214811764181477	1	0.756185054779053
1	-0.00139526881505403	0	0.730565786361694
1	0.000442839000698747	1	0.73342490196228
1	-0.00173514101383265	0	0.740225076675415
1	-0.00137200276379978	0	0.727030992507935
1	0.00213371294511167	1	0.753237962722778
1	0.00337326345770306	1	0.726163864135742
1	-0.00222184031992889	0	0.741038084030151
1	-0.00222729287543	0	0.726722002029419
1	-0.000351837092312124	0	0.968703985214233
0	0.00010853722950499	1	0.760706186294556
0	-0.000342937355591322	0	0.753152132034302
1	-0.0041410115725028	0	0.753918886184692
1	-0.00163129433643283	0	0.750287055969238
1	-0.00110702500679227	0	0.748424053192139
1	0.00244713087241022	1	0.772891044616699
1	-0.000584623418735997	0	0.773114204406738
1	0.00111112470507169	1	0.732725858688354
1	-0.00465307138858673	0	0.756519794464111
0	0.000591422638123507	1	0.756147146224976
1	0.00430893512113184	1	0.798805952072144
1	0.000637826015158383	1	0.738449811935425
1	-0.000848928971102225	0	0.750312089920044
1	0.000247481122461646	1	0.763068914413452
1	-0.00399254528136195	0	0.742208957672119
1	-8.79795958436125e-05	0	0.725577116012573
1	0.00060239628648151	1	0.729020833969116
1	-0.000697049535733019	0	0.7448570728302
1	-0.00308527537317194	0	0.782109022140503
1	0.00148689009665248	1	0.870920896530151
